Country,Country Code,Continent,TotalPaper,SingleF,SingleM,NatFirstF,NatFirstM,NatLastF,NatLastM,IntFirstF,IntFirstM,IntLastF,IntLastM,FMRatio
Mexico,MX,South America,48041,0.5732,0.6537,0.5872,0.5986,0.6018,0.6005,0.8562,0.9,0.9349,0.8893,0.508
Norway,NO,Europe,48018,1.0131,1.207,0.8835,0.9454,0.9036,0.9047,1.0706,1.1801,1.0691,1.1204,0.477
Portugal,PT,Europe,47381,0.789,0.8825,0.8925,0.8728,0.8614,0.8844,0.9853,1.0641,0.9631,1.0572,0.742
Czech Republic,CZ,Europe,44959,0.5334,0.7736,0.6748,0.7555,0.6995,0.7295,0.8647,1.025,0.8237,1.0002,0.871
Singapore,SG,Asia,44639,0.8687,1.0709,1.14,1.2614,1.1118,1.3176,1.3046,1.4021,1.304,1.3477,0.467
South Africa,ZA,Africa,40308,0.7714,0.847,0.7504,0.7319,0.7154,0.7552,1.0419,1.2032,1.0707,1.1061,0.516
Argentina,AR,South America,36837,0.6372,0.737,0.6348,0.6829,0.6393,0.6766,0.7949,0.9391,0.8337,0.891,0.915
New Zealand,NZ,Australasia,36447,0.9868,0.9234,0.8513,0.9612,0.9032,0.9144,1.0737,1.1758,1.0156,1.0781,0.489
Ireland,IE,Europe,32538,0.8927,1.1365,1.0183,0.9881,0.9489,1.0143,1.0854,1.2389,1.0036,1.295,0.459
Romania,RO,Europe,31741,0.4852,0.7964,0.5351,0.572,0.5076,0.5851,0.7196,0.9101,0.6985,0.9286,0.951
Malaysia,MY,Asia,29110,0.6525,0.5609,0.7651,0.7646,0.7412,0.7489,0.8479,0.7872,0.8259,0.7025,0.464
Hungary,HU,Europe,28234,0.9002,0.7603,0.6442,0.7123,0.6561,0.7097,0.8487,0.9947,0.9106,0.9567,0.388
Egypt,EG,Africa,27561,0.6019,0.6477,0.5972,0.658,0.6138,0.6515,0.7904,0.8428,0.748,0.78,0.465
Thailand,TH,Asia,26186,0.8376,0.8555,0.7055,0.9019,0.6975,0.8001,0.9112,1.0004,0.792,1.2295,0.731
Chile,CL,South America,25168,0.5112,0.6557,0.5964,0.639,0.5915,0.6356,0.8359,0.9723,0.8322,0.9526,0.425
Ukraine,UA,Europe,24037,0.3163,0.9271,0.4423,0.5504,0.3959,0.5461,0.6742,0.8076,0.699,0.8737,1.161
Pakistan,PK,Asia,22140,0.4269,0.558,0.5236,0.5881,0.6137,0.5744,0.6696,0.7658,0.7661,0.7642,0.277
Saudi Arabia,SA,Asia,19737,0.4065,0.7408,0.4539,0.6036,0.6103,0.5928,0.6135,0.9586,1.0314,1.0029,0.157
Serbia,RS,Europe,19440,0.584,0.8357,0.5389,0.6468,0.5317,0.6466,0.7516,0.887,0.7057,1.0782,0.857
Slovenia,SI,Europe,16932,0.8081,0.7656,0.6785,0.6858,0.7238,0.6828,0.903,0.9832,0.8571,1.0035,0.643
Croatia,HR,Europe,16890,0.4945,0.6444,0.5382,0.5224,0.556,0.5263,0.7635,0.9437,0.777,0.9844,0.963
Slovakia,SK,Europe,14560,0.3558,0.6462,0.5534,0.5503,0.6019,0.549,0.7111,0.8481,0.7592,0.7547,0.735
Colombia,CO,South America,12864,0.3712,0.6349,0.4952,0.5964,0.4839,0.5808,0.739,0.8105,0.8483,0.7917,0.548
